depth,qubits,qasm_definition
2,5,"OPENQASM 2.0; include ""qelib1.inc""; gate r(param0,param1) q0 { u3(param0,param1 - pi/2,pi/2 - param1) q0; } qreg q[5]; creg c[5]; y q[0]; rccx q[1],q[3],q[2]; r(2.3557177255499577,2.519870799164146) q[4]; h q[4]; cz q[1],q[0]; p(2.993946463633414) q[2]; rz(3.2132801069389854) q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } qreg q[4]; creg c[4]; sdg q[0]; cswap q[2],q[3],q[1]; rcccx q[1],q[0],q[2],q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; cswap q[1],q[3],q[0]; id q[2]; rccx q[3],q[2],q[0]; sx q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[3]; creg c[3]; rccx q[2],q[0],q[1]; ccz q[1],q[2],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } qreg q[3]; creg c[3]; cswap q[2],q[0],q[1]; tdg q[1]; rzx(3.615002550653662) q[2],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate r(param0,param1) q0 { u3(param0,param1 - pi/2,pi/2 - param1) q0; } gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[4]; creg c[4]; ry(5.36149163786825) q[0]; r(1.2836308090358728,5.57962903760665) q[2]; u2(2.670891127768176,2.420201147811762) q[3]; id q[1]; ccz q[0],q[1],q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; cu1(2.707735551257971) q[1],q[0]; cu1(3.6715350362263903) q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; rz(4.8302452246707075) q[1]; u(1.8595224697306931,3.8952785784630843,4.217373548966611) q[0]; u3(5.748121007183483,5.579332137792929,0.103150726818392) q[1]; y q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; gate xx_minus_yy(param0,param1) q0,q1 { rz(-param1) q1; rz(-pi/2) q0; sx q0; rz(pi/2) q0; s q1; cx q0,q1; ry(param0/2) q0; ry(-param0/2) q1; cx q0,q1; sdg q1; rz(-pi/2) q0; sxdg q0; rz(pi/2) q0; rz(param1) q1; } gate ryy(param0) q0,q1 { rx(pi/2) q0; rx(pi/2) q1; cx q0,q1; rz(param0) q1; cx q0,q1; rx(-pi/2) q0; rx(-pi/2) q1; } qreg q[5]; creg c[5]; xx_minus_yy(0.07789545008997346,2.81600031155906) q[2],q[1]; ccx q[0],q[4],q[3]; ryy(6.135767665861778) q[2],q[0]; cz q[3],q[4]; id q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; ry(0.5329241082547603) q[0]; s q[1]; z q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[4]; creg c[4]; sxdg q[0]; rccx q[2],q[3],q[1]; sx q[3]; ccz q[2],q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; c3sqrtx q[2],q[1],q[0],q[3]; u(5.542351823531019,2.3364610789377593,2.9429486549567874) q[2]; rccx q[3],q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; c3sqrtx q[3],q[1],q[0],q[2]; cu3(3.5910572491151265,1.4274626117981564,5.869215718017813) q[1],q[2]; swap q[0],q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate csdg q0,q1 { p(-pi/4) q0; cx q0,q1; p(pi/4) q1; cx q0,q1; p(-pi/4) q1; } qreg q[2]; creg c[2]; cu3(1.2655854131017923,5.918019945397633,1.512000973763737) q[0],q[1]; csdg q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[5]; creg c[5]; cy q[0],q[2]; y q[3]; cry(3.8010668634843325) q[1],q[4]; cp(2.27604014430335) q[0],q[3]; sdg q[4]; ch q[2],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; swap q[0],q[1]; crz(1.2494347820371878) q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[5]; creg c[5]; c3sqrtx q[0],q[1],q[4],q[3]; y q[2]; cswap q[1],q[2],q[0]; cx q[3],q[4]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate ryy(param0) q0,q1 { rx(pi/2) q0; rx(pi/2) q1; cx q0,q1; rz(param0) q1; cx q0,q1; rx(-pi/2) q0; rx(-pi/2) q1; } qreg q[2]; creg c[2]; ryy(1.4133039214433578) q[1],q[0]; u(1.4221814642927841,4.395638506534079,1.0898671475341244) q[0]; sxdg q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; c3sqrtx q[1],q[2],q[0],q[3]; sxdg q[2]; rccx q[0],q[1],q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } qreg q[4]; creg c[4]; rcccx q[1],q[0],q[3],q[2]; ccx q[3],q[0],q[1]; s q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; cswap q[2],q[1],q[0]; cry(5.27013762222846) q[1],q[0]; rx(1.3599084747825347) q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; sx q[0]; u1(0.9982664529308714) q[1]; u2(5.868663306052736,3.2515877266226614) q[1]; sxdg q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; rx(2.9112859178361945) q[1]; cy q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate xx_plus_yy(param0,param1) q0,q1 { rz(param1) q0; rz(-pi/2) q1; sx q1; rz(pi/2) q1; s q0; cx q1,q0; ry(-param0/2) q1; ry(-param0/2) q0; cx q1,q0; sdg q0; rz(-pi/2) q1; sxdg q1; rz(pi/2) q1; rz(-param1) q0; } qreg q[3]; creg c[3]; ry(1.9458085349902114) q[2]; xx_plus_yy(2.9245961080373535,1.3972972883221737) q[0],q[1]; sdg q[0]; y q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; rccx q[3],q[1],q[2]; t q[0]; rxx(5.539859052176757) q[1],q[0]; sx q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; tdg q[0]; rx(2.0178887539495514) q[1]; ry(1.6923750047904027) q[0]; y q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; crx(3.318319536800837) q[1],q[0]; h q[2]; x q[0]; tdg q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } gate ecr q0,q1 { rzx(pi/4) q0,q1; x q0; rzx(-pi/4) q0,q1; } gate ryy(param0) q0,q1 { rx(pi/2) q0; rx(pi/2) q1; cx q0,q1; rz(param0) q1; cx q0,q1; rx(-pi/2) q0; rx(-pi/2) q1; } qreg q[2]; creg c[2]; ecr q[0],q[1]; ryy(1.8097031984540177) q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } qreg q[5]; creg c[5]; rcccx q[3],q[1],q[2],q[0]; rx(0.141198463051206) q[4]; rcccx q[2],q[0],q[1],q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; c3sqrtx q[1],q[0],q[2],q[3]; c3sqrtx q[0],q[1],q[2],q[3]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[5]; creg c[5]; cz q[4],q[3]; cswap q[2],q[0],q[1]; cu3(3.7328402259752083,1.337150930621761,3.0125774790089106) q[3],q[0]; tdg q[2]; z q[4]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate r(param0,param1) q0 { u3(param0,param1 - pi/2,pi/2 - param1) q0; } qreg q[4]; creg c[4]; r(5.5032336720002,4.294353265520389) q[2]; id q[3]; crz(0.054129620562509896) q[1],q[0]; rx(4.703999836221476) q[0]; rx(5.388940410587622) q[3]; rx(2.832074160615027) q[1]; ry(1.1707457821036213) q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[3]; creg c[3]; rccx q[0],q[2],q[1]; ccz q[2],q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; ccx q[2],q[1],q[0]; y q[3]; cu1(3.8322332975118396) q[3],q[2]; tdg q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } qreg q[4]; creg c[4]; ch q[1],q[2]; u2(0.4232777010333015,5.448201938363052) q[3]; rcccx q[3],q[2],q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; sdg q[0]; crx(4.55641554526187) q[1],q[2]; cswap q[2],q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } qreg q[4]; creg c[4]; y q[0]; y q[2]; s q[3]; rzx(5.013196011708953) q[2],q[0]; rz(0.7510240368594877) q[3]; z q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; z q[1]; p(2.451803653764618) q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate xx_plus_yy(param0,param1) q0,q1 { rz(param1) q0; rz(-pi/2) q1; sx q1; rz(pi/2) q1; s q0; cx q1,q0; ry(-param0/2) q1; ry(-param0/2) q0; cx q1,q0; sdg q0; rz(-pi/2) q1; sxdg q1; rz(pi/2) q1; rz(-param1) q0; } qreg q[3]; creg c[3]; xx_plus_yy(4.05447416782614,3.247327224293297) q[1],q[0]; ry(5.316691556529006) q[2]; cx q[2],q[0]; id q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; id q[2]; x q[0]; ry(2.902163731207859) q[1]; cp(3.7509903392014445) q[0],q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } qreg q[3]; creg c[3]; csx q[2],q[0]; z q[1]; rzx(5.382445984226346) q[2],q[0]; rz(4.613247174445501) q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[5]; creg c[5]; c3sqrtx q[2],q[1],q[0],q[4]; t q[3]; c3sqrtx q[2],q[0],q[4],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; gate csdg q0,q1 { p(-pi/4) q0; cx q0,q1; p(pi/4) q1; cx q0,q1; p(-pi/4) q1; } gate iswap q0,q1 { s q0; s q1; h q0; cx q0,q1; cx q1,q0; h q1; } qreg q[5]; creg c[5]; csdg q[3],q[2]; ccx q[1],q[0],q[4]; iswap q[4],q[1]; s q[3]; cy q[0],q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; c3sqrtx q[3],q[1],q[2],q[0]; c3sqrtx q[3],q[1],q[2],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } qreg q[3]; creg c[3]; u2(1.9139349796066651,3.331912032807124) q[2]; sdg q[0]; rx(4.8246759786752795) q[1]; sxdg q[1]; rzx(3.1519344786434496) q[2],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[4]; creg c[4]; rcccx q[1],q[2],q[3],q[0]; ccz q[0],q[3],q[1]; ry(0.30135100565391304) q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate iswap q0,q1 { s q0; s q1; h q0; cx q0,q1; cx q1,q0; h q1; } gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } gate ecr q0,q1 { rzx(pi/4) q0,q1; x q0; rzx(-pi/4) q0,q1; } qreg q[2]; creg c[2]; iswap q[1],q[0]; ecr q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
